ticker,n_events,worst_depth,avg_depth,longest_total_days,avg_total_days
IWM,139,-0.5989414619683975,-0.03728363551781888,1388.0,53.0431654676259
SPY,293,-0.5647328750103537,-0.01777461393974451,1935.0,24.419795221843003
QQQ,265,-0.5340204840498401,-0.02702997253828,1136.0,27.4
GLD,119,-0.4555501381439948,-0.029520045394874198,3264.0,61.88235294117647
TLT,48,-0.2847040693264885,-0.04597614786686024,1089.0,116.14583333333333
