ticker,p01_max_dd,p05_max_dd,median_max_dd,mean_max_dd
IWM,-0.6770043814072191,-0.5821154642503946,-0.3610703534295411,-0.3776767234810675
TLT,-0.5534526024757586,-0.4630149722440409,-0.27150462419728016,-0.28637832995210316
QQQ,-0.5496664718399794,-0.4575186012461027,-0.2810231931734394,-0.2962074384735613
SPY,-0.5436462328375109,-0.4566227255537155,-0.27343837915078484,-0.2889508060104553
GLD,-0.4926975289523945,-0.41009863741847274,-0.24490031676166962,-0.25816068007161885
