ticker,n_events,worst_depth,longest_total_days,avg_depth
IWM,140,-0.5989414619683975,1388.0,-0.037309909450089364
SPY,294,-0.5647328750103537,1935.0,-0.017726620859862638
QQQ,266,-0.5340204840498401,1136.0,-0.027224604530670368
TLT,49,-0.48350660933693634,1089.0,-0.054905340958086274
GLD,120,-0.4555501381439948,3264.0,-0.0296365812102135
