peak_date,trough_date,recovery_date,depth,peak_to_trough_days,trough_to_recovery_days,total_days,recovered,ticker
2005-11-22,2005-11-23,2005-11-25,-0.0034468775344688174,1,2.0,3.0,True,GLD
2005-11-29,2005-11-30,2005-12-01,-0.014056224899598346,1,1.0,2.0,True,GLD
2005-12-12,2005-12-20,2006-01-03,-0.06697108066971091,8,14.0,22.0,True,GLD
2006-01-04,2006-01-05,2006-01-06,-0.01801125703564721,1,1.0,2.0,True,GLD
2006-01-09,2006-01-10,2006-01-13,-0.009890109890109855,1,3.0,4.0,True,GLD
2006-01-13,2006-01-18,2006-01-19,-0.024711399711399684,5,1.0,6.0,True,GLD
2006-01-19,2006-01-20,2006-01-23,-0.007015650296815945,1,3.0,4.0,True,GLD
2006-01-23,2006-01-24,2006-01-25,-0.0007172314864624107,1,1.0,2.0,True,GLD
2006-01-25,2006-01-27,2006-01-30,-0.009084431777698576,2,3.0,5.0,True,GLD
2006-02-02,2006-02-13,2006-03-29,-0.05721305721305714,11,44.0,55.0,True,GLD
2006-03-30,2006-03-31,2006-04-05,-0.008532423208191142,1,5.0,6.0,True,GLD
2006-04-06,2006-04-07,2006-04-10,-0.011639676113360253,1,3.0,4.0,True,GLD
2006-04-10,2006-04-11,2006-04-17,-0.009899328859060419,1,6.0,7.0,True,GLD
2006-04-19,2006-04-20,2006-04-28,-0.04376470588235293,1,8.0,9.0,True,GLD
2006-05-02,2006-05-03,2006-05-04,-0.0013523666416228597,1,1.0,2.0,True,GLD
2006-05-05,2006-05-08,2006-05-09,-0.006324459479335132,3,1.0,4.0,True,GLD
2006-05-12,2006-06-14,2007-09-18,-0.21794150731158612,33,461.0,494.0,True,GLD
2007-09-18,2007-09-19,2007-09-20,-0.003765690376568931,1,1.0,2.0,True,GLD
2007-09-20,2007-09-26,2007-09-28,-0.00990099009900991,6,2.0,8.0,True,GLD
2007-10-01,2007-10-03,2007-10-11,-0.02706359945872805,2,8.0,10.0,True,GLD
2007-10-15,2007-10-17,2007-10-18,-0.008517434122970458,2,1.0,3.0,True,GLD
2007-10-18,2007-10-22,2007-10-25,-0.018421052631579005,4,3.0,7.0,True,GLD
2007-10-29,2007-10-30,2007-10-31,-0.009856630824372936,1,1.0,2.0,True,GLD
2007-10-31,2007-11-01,2007-11-02,-0.00877639277537523,1,1.0,2.0,True,GLD
2007-11-02,2007-11-05,2007-11-06,-0.0010021295252411466,3,1.0,4.0,True,GLD
2007-11-07,2007-11-19,2007-12-28,-0.06079766536964981,12,39.0,51.0,True,GLD
2007-12-28,2007-12-31,2008-01-02,-0.006506024096385565,3,2.0,5.0,True,GLD
2008-01-03,2008-01-07,2008-01-08,-0.009349070936075732,4,1.0,5.0,True,GLD
2008-01-08,2008-01-09,2008-01-10,-0.0026503802719520797,1,1.0,2.0,True,GLD
2008-01-14,2008-01-17,2008-01-24,-0.033951306678579485,3,7.0,10.0,True,GLD
2008-01-28,2008-01-29,2008-01-30,-0.006539509536784727,1,1.0,2.0,True,GLD
2008-01-30,2008-02-05,2008-02-20,-0.047577666739083146,6,15.0,21.0,True,GLD
2008-02-22,2008-02-25,2008-02-26,-0.006960059963593612,3,1.0,4.0,True,GLD
2008-03-03,2008-03-04,2008-03-05,-0.021184697655285745,1,1.0,2.0,True,GLD
2008-03-05,2008-03-10,2008-03-13,-0.018931641424478007,5,3.0,8.0,True,GLD
2008-03-17,2008-11-12,2009-09-16,-0.29414137339921353,240,308.0,548.0,True,GLD
2009-09-16,2009-09-25,2009-10-06,-0.029126213592232997,9,11.0,20.0,True,GLD
2009-10-08,2009-10-09,2009-10-13,-0.007719027402547263,1,4.0,5.0,True,GLD
2009-10-13,2009-10-28,2009-11-03,-0.03385766353347397,15,6.0,21.0,True,GLD
2009-11-04,2009-11-05,2009-11-06,-0.0011204481792715937,1,1.0,2.0,True,GLD
2009-11-11,2009-11-12,2009-11-13,-0.012682481751824848,1,1.0,2.0,True,GLD
2009-11-25,2009-11-27,2009-12-01,-0.013376779283141849,2,4.0,6.0,True,GLD
2009-12-02,2010-02-08,2010-05-11,-0.1270347373720423,68,92.0,160.0,True,GLD
2010-05-12,2010-05-21,2010-06-07,-0.050906095551894626,9,17.0,26.0,True,GLD
2010-06-07,2010-06-10,2010-06-17,-0.02074244793810187,3,7.0,10.0,True,GLD
2010-06-18,2010-07-27,2010-09-14,-0.07587722869005942,39,49.0,88.0,True,GLD
2010-09-14,2010-09-15,2010-09-16,-0.0006450572488307937,1,1.0,2.0,True,GLD
2010-09-16,2010-09-17,2010-09-20,-0.0007221375270800579,1,3.0,4.0,True,GLD
2010-09-29,2010-09-30,2010-10-01,-0.0003126221180148603,1,1.0,2.0,True,GLD
2010-10-01,2010-10-04,2010-10-05,-0.003490807540144192,3,1.0,4.0,True,GLD
2010-10-06,2010-10-07,2010-10-11,-0.0109248160230635,1,4.0,5.0,True,GLD
2010-10-11,2010-10-12,2010-10-13,-0.0024945196159950056,1,1.0,2.0,True,GLD
2010-10-14,2010-10-21,2010-11-04,-0.03918367346938778,7,14.0,21.0,True,GLD
2010-11-08,2010-11-17,2010-12-03,-0.05370881114820736,9,16.0,25.0,True,GLD
2010-12-06,2011-01-27,2011-03-01,-0.08036805405793979,52,33.0,85.0,True,GLD
2011-03-01,2011-03-16,2011-03-23,-0.027065628793829788,15,7.0,22.0,True,GLD
2011-03-23,2011-03-29,2011-04-05,-0.01517742625053442,6,7.0,13.0,True,GLD
2011-04-08,2011-04-12,2011-04-14,-0.014269803703187978,4,2.0,6.0,True,GLD
2011-04-25,2011-04-26,2011-04-27,-0.0033362837883843532,1,1.0,2.0,True,GLD
2011-04-29,2011-05-05,2011-07-12,-0.05841044825096808,6,68.0,74.0,True,GLD
2011-07-18,2011-07-19,2011-07-25,-0.012199016414383368,1,6.0,7.0,True,GLD
2011-07-26,2011-07-27,2011-07-29,-0.0036762375610066567,1,2.0,3.0,True,GLD
2011-07-29,2011-08-01,2011-08-02,-0.0036009855328826834,3,1.0,4.0,True,GLD
2011-08-02,2011-08-04,2011-08-05,-0.005448241703813972,2,1.0,3.0,True,GLD
2011-08-10,2011-08-12,2011-08-18,-0.02640623209989701,2,6.0,8.0,True,GLD
2011-08-22,2015-12-17,2020-07-29,-0.4555501381439948,1578,1686.0,3264.0,True,GLD
2020-07-29,2020-07-30,2020-07-31,-0.007400205261167803,1,1.0,2.0,True,GLD
2020-08-06,2022-09-26,2024-03-04,-0.22002166176698124,781,525.0,1306.0,True,GLD
2024-03-11,2024-03-15,2024-03-20,-0.011336633663366347,4,5.0,9.0,True,GLD
2024-03-20,2024-03-22,2024-03-27,-0.00905134038975175,2,5.0,7.0,True,GLD
2024-04-03,2024-04-04,2024-04-05,-0.005734699633355267,1,1.0,2.0,True,GLD
2024-04-09,2024-04-10,2024-04-11,-0.009463867322092923,1,1.0,2.0,True,GLD
2024-04-11,2024-04-12,2024-04-15,-0.01323930846223853,1,3.0,4.0,True,GLD
2024-04-16,2024-04-30,2024-05-17,-0.04226561793689543,14,17.0,31.0,True,GLD
2024-05-20,2024-06-07,2024-07-16,-0.0577128607053794,18,39.0,57.0,True,GLD
2024-07-16,2024-07-25,2024-08-12,-0.043628717858863686,9,18.0,27.0,True,GLD
2024-08-12,2024-08-14,2024-08-16,-0.009675583380762687,2,2.0,4.0,True,GLD
2024-08-16,2024-08-19,2024-08-20,-0.0016380016380016515,3,1.0,4.0,True,GLD
2024-08-20,2024-08-22,2024-08-26,-0.013292609481201034,2,4.0,6.0,True,GLD
2024-08-27,2024-09-03,2024-09-12,-0.013282488538497783,7,9.0,16.0,True,GLD
2024-09-13,2024-09-18,2024-09-19,-0.013281380928439779,5,1.0,6.0,True,GLD
2024-09-24,2024-09-25,2024-09-26,-0.0013817206485959854,1,1.0,2.0,True,GLD
2024-09-26,2024-10-09,2024-10-16,-0.024010041298890505,13,7.0,20.0,True,GLD
2024-10-18,2024-10-21,2024-10-22,-0.00019898913519322825,3,1.0,4.0,True,GLD
2024-10-22,2024-10-23,2024-10-29,-0.012050565116370704,1,6.0,7.0,True,GLD
2024-10-30,2024-11-15,2025-01-30,-0.08120388349514562,16,76.0,92.0,True,GLD
2025-02-05,2025-02-06,2025-02-10,-0.002650210123802621,1,4.0,5.0,True,GLD
2025-02-10,2025-02-11,2025-02-13,-0.003651674926407611,1,2.0,3.0,True,GLD
2025-02-13,2025-02-14,2025-02-18,-0.014871813843365,1,4.0,5.0,True,GLD
2025-02-20,2025-02-21,2025-02-24,-0.0009225432672792522,1,3.0,4.0,True,GLD
2025-02-24,2025-02-28,2025-03-13,-0.03284229087836599,4,13.0,17.0,True,GLD
2025-03-19,2025-03-24,2025-03-27,-0.013731279570274979,5,3.0,8.0,True,GLD
2025-03-31,2025-04-01,2025-04-02,-0.0019782050392169737,1,1.0,2.0,True,GLD
2025-04-02,2025-04-07,2025-04-10,-0.05014575235980023,5,3.0,8.0,True,GLD
2025-04-11,2025-04-14,2025-04-16,-0.005706038331151575,3,2.0,5.0,True,GLD
2025-04-16,2025-04-17,2025-04-21,-0.004390672260708439,1,4.0,5.0,True,GLD
2025-04-21,2025-05-14,2025-06-13,-0.07107322792230408,23,30.0,53.0,True,GLD
2025-06-13,2025-07-30,2025-08-29,-0.048468177937968426,47,30.0,77.0,True,GLD
2025-09-03,2025-09-04,2025-09-05,-0.0044188456146766475,1,1.0,2.0,True,GLD
2025-09-08,2025-09-09,2025-09-10,-0.0022698763514723552,1,1.0,2.0,True,GLD
2025-09-10,2025-09-11,2025-09-12,-0.001491379824613781,1,1.0,2.0,True,GLD
2025-09-16,2025-09-18,2025-09-22,-0.011690568037928006,2,4.0,6.0,True,GLD
2025-09-23,2025-09-24,2025-09-26,-0.009063095306817481,1,2.0,3.0,True,GLD
2025-10-01,2025-10-02,2025-10-03,-0.0034828525686035894,1,1.0,2.0,True,GLD
2025-10-08,2025-10-09,2025-10-13,-0.018452860596293363,1,4.0,5.0,True,GLD
2025-10-16,2025-10-17,2025-10-20,-0.01881700088283511,1,3.0,4.0,True,GLD
2025-10-20,2025-11-04,2025-12-22,-0.10127744015874984,15,48.0,63.0,True,GLD
2025-12-23,2025-12-24,2025-12-26,-0.004134029590948551,1,2.0,3.0,True,GLD
2025-12-26,2025-12-29,,-0.04350434323559049,3,,,False,GLD
